,Date,count, Spd, Visb, Temp, Prcp, SD, SDW
0,201101,13464996,4.91,12981.15,-1.11,0.23,10.88,0.0
1,201102,14202800,5.97,13410.76,1.7,0.25,6.99,0.0
2,201103,16066350,6.18,13929.07,5.36,0.31,3.0,0.0
3,201104,14718973,5.74,11365.89,10.88,0.35,3.0,0.0
4,201105,15554868,4.36,12540.97,16.63,0.27,3.0,0.0
5,201106,15097861,4.13,13399.32,21.77,0.19,3.0,0.0
6,201107,14742561,4.13,14403.81,26.08,0.27,3.0,0.0
7,201108,13262441,4.85,14246.54,23.83,1.42,3.0,0.0
8,201109,14626748,3.97,13125.31,20.62,0.32,3.0,0.0
9,201110,15707756,5.06,14336.94,14.38,0.33,3.0,0.0
10,201111,14525862,4.55,14617.33,10.48,0.21,3.0,0.0
11,201112,14925983,4.81,14445.81,6.6,0.24,3.0,0.0
12,201201,14969132,6.0,14506.96,3.21,0.18,3.09,0.0
13,201202,14983521,5.24,14952.33,4.66,0.09,3.0,0.0
14,201203,16146923,4.84,12833.3,9.08,0.08,3.0,0.0
15,201204,15477914,5.61,14903.85,12.15,0.21,3.0,0.0
16,201205,15567525,3.82,12575.61,17.17,0.5,3.0,0.0
17,201206,15096468,4.51,15193.13,21.25,0.56,3.0,0.0
18,201207,14379307,4.14,15681.2,25.36,0.17,3.0,0.0
19,201208,14381752,3.95,15314.85,24.66,0.39,3.0,0.0
20,201209,14546854,4.74,15470.1,20.82,0.34,3.0,0.0
21,201210,14522315,4.88,13405.4,15.38,0.16,3.0,0.0
22,201211,13776030,4.99,14757.86,6.51,0.12,3.25,0.0
23,201212,14696583,5.19,12209.78,5.81,0.32,3.0,0.0
24,201301,14776615,5.25,12605.74,2.26,0.16,3.0,0.0
25,201302,13990176,5.87,13347.17,1.36,0.22,4.08,0.0
26,201303,15749228,6.22,14596.87,4.08,0.18,3.07,0.0
27,201304,15100468,5.75,14221.66,10.12,0.17,3.0,0.0
28,201305,15285049,4.63,12951.91,15.17,0.21,3.0,0.0
29,201306,14385456,4.96,13934.75,20.81,0.56,3.0,0.0
30,201307,13823840,4.46,14564.63,25.65,0.16,3.0,0.0
31,201308,12597109,4.33,15270.47,23.17,0.24,3.0,0.0
32,201309,14107693,4.31,15024.12,19.67,0.14,3.0,0.0
33,201310,15004556,4.67,14942.28,15.56,0.03,3.0,0.0
34,201311,14388451,5.76,14738.59,7.77,0.19,3.0,0.0
35,201312,13971118,4.92,12808.38,3.72,0.33,3.2,0.37
36,201401,13782492,5.71,12302.12,-1.01,0.21,6.45,5.51
37,201402,13063791,5.24,12679.75,-0.18,0.41,12.44,12.64
38,201403,15428127,5.97,14759.27,3.13,0.29,3.0,0.08
39,201404,14618759,5.94,14276.77,9.65,0.29,3.0,0.0
40,201405,14774041,4.75,13246.37,16.58,0.4,3.0,0.0
41,201406,13813029,4.15,14709.25,21.6,0.24,3.0,0.0
42,201407,13106365,4.73,15315.88,23.8,0.5,3.0,0.0
43,201408,12688877,3.95,15764.48,23.21,0.29,3.0,0.0
44,201409,13374016,4.03,15660.52,20.83,0.14,3.0,0.0
45,201410,14232487,5.42,15489.05,15.71,0.31,3.0,0.0
46,201411,13218216,5.53,14172.79,7.55,0.38,3.0,0.0
47,201412,13014161,5.26,13528.18,5.47,0.45,3.0,0.0
48,201501,12748986,5.96,13549.37,-0.3,0.39,6.05,8.54
49,201502,12450521,5.91,14337.37,-3.68,0.19,8.15,17.88
50,201503,13351609,5.15,13238.23,3.16,0.36,4.91,6.28
51,201504,13071789,5.52,14210.61,10.96,0.12,3.0,0.0
52,201505,13158262,4.22,12996.87,17.37,0.04,3.0,0.0
53,201506,12324935,4.49,14858.39,21.05,0.36,3.0,0.0
